Record Length,2500,Points,58.999998146E-6,-40.00000283E-3,,Record Length,2500,Points,58.999998146E-6,-60.799997300E-3,
Sample Interval,3.99999989E-9,s,59.003999922E-6,-42.00000316E-3,,Sample Interval,3.99999989E-9,s,59.003999922E-6,-62.399998307E-3,
Trigger Point,-14.7500007E3,Samples,59.007998061E-6,-44.00000349E-3,,Trigger Point,-14.7500007E3,Samples,59.007998061E-6,-58.399997652E-3,
,,,59.011999838E-6,-40.00000283E-3,,,,,59.011999838E-6,-62.399998307E-3,
,,,59.015997977E-6,-42.00000316E-3,,,,,59.015997977E-6,-59.999998659E-3,
,,,59.019999753E-6,-42.00000316E-3,,,,,59.019999753E-6,-59.200000018E-3,
Source,CH1,,59.023997892E-6,-46.00000381E-3,,Source,CH2,,59.023997892E-6,-63.199996948E-3,
Vertical Units,Volts,,59.027999669E-6,-44.00000349E-3,,Vertical Units,Volts,,59.027999669E-6,-59.200000018E-3,
Vertical Scale,50.00000237E-3,,59.031997807E-6,-48.00000042E-3,,Vertical Scale,19.9999995E-3,,59.031997807E-6,-59.999998659E-3,
Vertical Offset,0,,59.035999584E-6,-50.00000075E-3,,Vertical Offset,0,,59.035999584E-6,-60.799997300E-3,
Horizontal Units,s,,59.039997723E-6,-50.00000075E-3,,Horizontal Units,s,,59.039997723E-6,-58.399997652E-3,
Horizontal Scale,999.999971718E-9,,59.043999499E-6,-50.00000075E-3,,Horizontal Scale,999.999971718E-9,,59.043999499E-6,-60.799997300E-3,
Pt Fmt,Y,,59.047997638E-6,-52.00000107E-3,,Pt Fmt,Y,,59.047997638E-6,-59.200000018E-3,
Yzero,80.000000000E-3,,59.051999415E-6,-52.00000107E-3,,Yzero,0.0,,59.051999415E-6,-59.999998659E-3,
Probe Atten,1.000000,,59.055997554E-6,-52.00000107E-3,,Probe Atten,1.000000,,59.055997554E-6,-59.200000018E-3,
,,,59.059999330E-6,-52.00000107E-3,,,,,59.059999330E-6,-57.599999011E-3,
Note,TDS 1001B - 10:56:37   14/05/2025,,59.063997469E-6,-52.00000107E-3,,Note,TDS 1001B - 10:56:37   14/05/2025,,59.063997469E-6,-58.399997652E-3,
,,,59.067999246E-6,-56.000001729E-3,,,,,59.067999246E-6,-59.200000018E-3,
,,,59.071997384E-6,-52.00000107E-3,,,,,59.071997384E-6,-56.800000370E-3,
,,,59.075999161E-6,-56.000001729E-3,,,,,59.075999161E-6,-57.599999011E-3,
,,,59.079997300E-6,-60.000002384E-3,,,,,59.079997300E-6,-59.999998659E-3,
,,,59.083999076E-6,-60.000002384E-3,,,,,59.083999076E-6,-55.999998003E-3,
,,,59.087997215E-6,-62.000002712E-3,,,,,59.087997215E-6,-57.599999011E-3,
,,,59.091998992E-6,-62.000002712E-3,,,,,59.091998992E-6,-56.800000370E-3,
,,,59.095997130E-6,-62.000002712E-3,,,,,59.095997130E-6,-55.999998003E-3,
,,,59.099998907E-6,-64.000003040E-3,,,,,59.099998907E-6,-58.399997652E-3,
,,,59.103997046E-6,-60.000002384E-3,,,,,59.103997046E-6,-53.59999835E-3,
,,,59.107998823E-6,-64.000003040E-3,,,,,59.107998823E-6,-57.599999011E-3,
,,,59.111996961E-6,-62.000002712E-3,,,,,59.111996961E-6,-56.800000370E-3,
,,,59.115998738E-6,-65.999999642E-3,,,,,59.115998738E-6,-54.39999700E-3,
,,,59.119996877E-6,-68.000003695E-3,,,,,59.119996877E-6,-57.599999011E-3,
,,,59.123998653E-6,-70.000000298E-3,,,,,59.123998653E-6,-55.199999362E-3,
,,,59.127996792E-6,-68.000003695E-3,,,,,59.127996792E-6,-55.199999362E-3,
,,,59.131998569E-6,-68.000003695E-3,,,,,59.131998569E-6,-55.199999362E-3,
,,,59.135996707E-6,-70.000000298E-3,,,,,59.135996707E-6,-53.59999835E-3,
,,,59.139998484E-6,-72.000004351E-3,,,,,59.139998484E-6,-55.999998003E-3,
,,,59.143996623E-6,-72.000004351E-3,,,,,59.143996623E-6,-55.199999362E-3,
,,,59.147998400E-6,-74.000000954E-3,,,,,59.147998400E-6,-51.99999735E-3,
,,,59.151996538E-6,-72.000004351E-3,,,,,59.151996538E-6,-54.39999700E-3,
,,,59.155998315E-6,-76.000005007E-3,,,,,59.155998315E-6,-53.59999835E-3,
,,,59.159996454E-6,-76.000005007E-3,,,,,59.159996454E-6,-51.99999735E-3,
,,,59.163998230E-6,-78.000001609E-3,,,,,59.163998230E-6,-54.39999700E-3,
,,,59.167996369E-6,-74.000000954E-3,,,,,59.167996369E-6,-51.99999735E-3,
,,,59.171998146E-6,-78.000001609E-3,,,,,59.171998146E-6,-53.59999835E-3,
,,,59.175999922E-6,-78.000001609E-3,,,,,59.175999922E-6,-52.79999971E-3,
,,,59.179998061E-6,-80.000005662E-3,,,,,59.179998061E-6,-51.99999735E-3,
,,,59.183999838E-6,-80.000005662E-3,,,,,59.183999838E-6,-53.59999835E-3,
,,,59.187997977E-6,-82.000002265E-3,,,,,59.187997977E-6,-51.19999871E-3,
,,,59.191999753E-6,-82.000002265E-3,,,,,59.191999753E-6,-51.99999735E-3,
,,,59.195997892E-6,-82.000002265E-3,,,,,59.195997892E-6,-51.99999735E-3,
,,,59.199999669E-6,-88.000006974E-3,,,,,59.199999669E-6,-51.19999871E-3,
,,,59.203997807E-6,-84.000006318E-3,,,,,59.203997807E-6,-52.79999971E-3,
,,,59.207999584E-6,-88.000006974E-3,,,,,59.207999584E-6,-52.79999971E-3,
,,,59.211997723E-6,-86.000002921E-3,,,,,59.211997723E-6,-51.99999735E-3,
,,,59.215999499E-6,-88.000006974E-3,,,,,59.215999499E-6,-51.99999735E-3,
,,,59.219997638E-6,-88.000006974E-3,,,,,59.219997638E-6,-51.19999871E-3,
,,,59.223999415E-6,-90.000003576E-3,,,,,59.223999415E-6,-48.79999906E-3,
,,,59.227997554E-6,-92.000007629E-3,,,,,59.227997554E-6,-51.99999735E-3,
,,,59.231999330E-6,-90.000003576E-3,,,,,59.231999330E-6,-48.00000042E-3,
,,,59.235997469E-6,-94.000004232E-3,,,,,59.235997469E-6,-49.59999770E-3,
,,,59.239999246E-6,-92.000007629E-3,,,,,59.239999246E-6,-50.40000007E-3,
,,,59.243997384E-6,-92.000007629E-3,,,,,59.243997384E-6,-49.59999770E-3,
,,,59.247999161E-6,-92.000007629E-3,,,,,59.247999161E-6,-49.59999770E-3,
,,,59.251997300E-6,-94.000004232E-3,,,,,59.251997300E-6,-48.79999906E-3,
,,,59.255999076E-6,-96.000000834E-3,,,,,59.255999076E-6,-47.19999805E-3,
,,,59.259997215E-6,-96.000000834E-3,,,,,59.259997215E-6,-49.59999770E-3,
,,,59.263998992E-6,-96.000000834E-3,,,,,59.263998992E-6,-48.00000042E-3,
,,,59.267997131E-6,-100.0000015E-3,,,,,59.267997131E-6,-47.19999805E-3,
,,,59.271998907E-6,-100.0000015E-3,,,,,59.271998907E-6,-47.19999805E-3,
,,,59.275997046E-6,-102.0000055E-3,,,,,59.275997046E-6,-46.39999941E-3,
,,,59.279998823E-6,-102.0000055E-3,,,,,59.279998823E-6,-47.19999805E-3,
,,,59.283996961E-6,-102.0000055E-3,,,,,59.283996961E-6,-47.19999805E-3,
,,,59.287998738E-6,-102.0000055E-3,,,,,59.287998738E-6,-44.79999840E-3,
,,,59.291996877E-6,-104.0000021E-3,,,,,59.291996877E-6,-45.59999704E-3,
,,,59.295998653E-6,-106.0000062E-3,,,,,59.295998653E-6,-46.39999941E-3,
,,,59.299996792E-6,-108.0000028E-3,,,,,59.299996792E-6,-46.39999941E-3,
,,,59.303998569E-6,-106.0000062E-3,,,,,59.303998569E-6,-47.19999805E-3,
,,,59.307996708E-6,-106.0000062E-3,,,,,59.307996708E-6,-44.79999840E-3,
,,,59.311998484E-6,-110.0000069E-3,,,,,59.311998484E-6,-46.39999941E-3,
,,,59.315996623E-6,-110.0000069E-3,,,,,59.315996623E-6,-45.59999704E-3,
,,,59.319998400E-6,-110.0000069E-3,,,,,59.319998400E-6,-43.99999976E-3,
,,,59.323996538E-6,-110.0000069E-3,,,,,59.323996538E-6,-45.59999704E-3,
,,,59.327998315E-6,-112.0000035E-3,,,,,59.327998315E-6,-43.99999976E-3,
,,,59.331996454E-6,-112.0000035E-3,,,,,59.331996454E-6,-43.19999740E-3,
,,,59.335998230E-6,-112.0000035E-3,,,,,59.335998230E-6,-42.39999875E-3,
,,,59.339996369E-6,-114.0000075E-3,,,,,59.339996369E-6,-42.39999875E-3,
,,,59.343998146E-6,-114.0000075E-3,,,,,59.343998146E-6,-40.79999775E-3,
,,,59.347999922E-6,-116.0000041E-3,,,,,59.347999922E-6,-43.99999976E-3,
,,,59.351998061E-6,-118.0000082E-3,,,,,59.351998061E-6,-43.19999740E-3,
,,,59.355999838E-6,-116.0000041E-3,,,,,59.355999838E-6,-43.99999976E-3,
,,,59.359997977E-6,-116.0000041E-3,,,,,59.359997977E-6,-43.99999976E-3,
,,,59.363999753E-6,-118.0000082E-3,,,,,59.363999753E-6,-39.20000046E-3,
,,,59.367997892E-6,-116.0000041E-3,,,,,59.367997892E-6,-42.39999875E-3,
,,,59.371999669E-6,-120.0000048E-3,,,,,59.371999669E-6,-41.60000011E-3,
,,,59.375997807E-6,-120.0000048E-3,,,,,59.375997807E-6,-39.99999911E-3,
,,,59.379999584E-6,-122.0000088E-3,,,,,59.379999584E-6,-42.39999875E-3,
,,,59.383997723E-6,-120.0000048E-3,,,,,59.383997723E-6,-39.20000046E-3,
,,,59.387999499E-6,-124.0000054E-3,,,,,59.387999499E-6,-41.60000011E-3,
,,,59.391997638E-6,-122.0000088E-3,,,,,59.391997638E-6,-40.79999775E-3,
,,,59.395999415E-6,-124.0000054E-3,,,,,59.395999415E-6,-38.39999810E-3,
,,,59.399997554E-6,-124.0000054E-3,,,,,59.399997554E-6,-39.99999911E-3,
,,,59.403999330E-6,-128.0000061E-3,,,,,59.403999330E-6,-40.79999775E-3,
,,,59.407997469E-6,-126.0000020E-3,,,,,59.407997469E-6,-38.39999810E-3,
,,,59.411999246E-6,-126.0000020E-3,,,,,59.411999246E-6,-39.20000046E-3,
,,,59.415997384E-6,-126.0000020E-3,,,,,59.415997384E-6,-38.39999810E-3,
,,,59.419999161E-6,-130.0000101E-3,,,,,59.419999161E-6,-36.80000082E-3,
,,,59.423997300E-6,-128.0000061E-3,,,,,59.423997300E-6,-39.99999911E-3,
,,,59.427999076E-6,-130.0000101E-3,,,,,59.427999076E-6,-35.19999981E-3,
,,,59.431997215E-6,-131.9999993E-3,,,,,59.431997215E-6,-37.59999946E-3,
,,,59.435998992E-6,-130.0000101E-3,,,,,59.435998992E-6,-38.39999810E-3,
,,,59.439997131E-6,-131.9999993E-3,,,,,59.439997131E-6,-34.39999744E-3,
,,,59.443998907E-6,-134.0000033E-3,,,,,59.443998907E-6,-39.99999911E-3,
,,,59.447997046E-6,-131.9999993E-3,,,,,59.447997046E-6,-34.39999744E-3,
,,,59.451998823E-6,-136.0000074E-3,,,,,59.451998823E-6,-35.99999845E-3,
,,,59.455996961E-6,-134.0000033E-3,,,,,59.455996961E-6,-35.99999845E-3,
,,,59.459998738E-6,-134.0000033E-3,,,,,59.459998738E-6,-31.99999779E-3,
,,,59.463996877E-6,-136.0000074E-3,,,,,59.463996877E-6,-35.19999981E-3,
,,,59.467998653E-6,-136.0000074E-3,,,,,59.467998653E-6,-34.39999744E-3,
,,,59.471996792E-6,-138.0000114E-3,,,,,59.471996792E-6,-31.99999779E-3,
,,,59.475998569E-6,-140.0000006E-3,,,,,59.475998569E-6,-35.99999845E-3,
,,,59.479996708E-6,-136.0000074E-3,,,,,59.479996708E-6,-33.59999880E-3,
,,,59.483998484E-6,-138.0000114E-3,,,,,59.483998484E-6,-31.99999779E-3,
,,,59.487996623E-6,-142.0000046E-3,,,,,59.487996623E-6,-33.59999880E-3,
,,,59.491998400E-6,-142.0000046E-3,,,,,59.491998400E-6,-31.19999915E-3,
,,,59.495996538E-6,-142.0000046E-3,,,,,59.495996538E-6,-33.59999880E-3,
,,,59.499998315E-6,-140.0000006E-3,,,,,59.499998315E-6,-32.80000016E-3,
,,,59.503996454E-6,-140.0000006E-3,,,,,59.503996454E-6,-31.19999915E-3,
,,,59.507998230E-6,-142.0000046E-3,,,,,59.507998230E-6,-34.39999744E-3,
,,,59.511996369E-6,-142.0000046E-3,,,,,59.511996369E-6,-30.39999865E-3,
,,,59.515998146E-6,-144.0000087E-3,,,,,59.515998146E-6,-30.39999865E-3,
,,,59.519999922E-6,-146.0000128E-3,,,,,59.519999922E-6,-33.59999880E-3,
,,,59.523998061E-6,-144.0000087E-3,,,,,59.523998061E-6,-27.99999900E-3,
,,,59.527999838E-6,-146.0000128E-3,,,,,59.527999838E-6,-31.19999915E-3,
,,,59.531997977E-6,-144.0000087E-3,,,,,59.531997977E-6,-30.39999865E-3,
,,,59.535999753E-6,-146.0000128E-3,,,,,59.535999753E-6,-28.79999951E-3,
,,,59.539997892E-6,-148.0000019E-3,,,,,59.539997892E-6,-31.99999779E-3,
,,,59.543999669E-6,-146.0000128E-3,,,,,59.543999669E-6,-27.99999900E-3,
,,,59.547997807E-6,-146.0000128E-3,,,,,59.547997807E-6,-27.19999850E-3,
,,,59.551999584E-6,-148.0000019E-3,,,,,59.551999584E-6,-30.39999865E-3,
,,,59.555997723E-6,-150.00000596E-3,,,,,59.555997723E-6,-26.39999986E-3,
,,,59.559999499E-6,-150.00000596E-3,,,,,59.559999499E-6,-27.19999850E-3,
,,,59.563997638E-6,-148.0000019E-3,,,,,59.563997638E-6,-30.39999865E-3,
,,,59.567999415E-6,-150.00000596E-3,,,,,59.567999415E-6,-24.79999885E-3,
,,,59.571997554E-6,-152.00001001E-3,,,,,59.571997554E-6,-28.79999951E-3,
,,,59.575999330E-6,-154.00001407E-3,,,,,59.575999330E-6,-26.39999986E-3,
